station_id,station_name,country,region,latitude,longitude,elevation,is_coastal,is_active
SD-NOR-00000,Station SD-NOR-00000,SD,North,34.227,-6.7765,2358.2,True,True
MZ-SOU-00001,Station MZ-SOU-00001,MZ,South,-23.8533,24.9594,2120.4,False,True
LS-SOU-00002,Station LS-SOU-00002,LS,South,-34.8148,22.9729,873.9,False,True
MZ-SOU-00003,Station MZ-SOU-00003,MZ,South,-33.7694,18.2144,2804.7,False,True
MZ-SOU-00004,Station MZ-SOU-00004,MZ,South,-12.5388,35.6328,576.3,True,True
MZ-SOU-00005,Station MZ-SOU-00005,MZ,South,-23.4691,23.6387,1218.3,True,True
RW-EAS-00006,Station RW-EAS-00006,RW,East,-4.7622,34.6726,1828.2,False,True
NG-WES-00007,Station NG-WES-00007,NG,West,15.7299,4.9217,1741.8,False,True
NA-SOU-00008,Station NA-SOU-00008,NA,South,-34.9758,16.5354,494.0,True,False
TD-CEN-00009,Station TD-CEN-00009,TD,Central,6.81,15.7563,1248.0,True,True
SN-WES-00010,Station SN-WES-00010,SN,West,12.9642,-6.8902,2182.6,False,True
UG-EAS-00011,Station UG-EAS-00011,UG,East,-1.6759,47.7175,2498.9,False,False
NA-SOU-00012,Station NA-SOU-00012,NA,South,-13.2729,10.3369,634.9,True,True
GH-WES-00013,Station GH-WES-00013,GH,West,6.165,-11.4431,450.2,True,True
LS-SOU-00014,Station LS-SOU-00014,LS,South,-31.2725,39.3407,1770.1,False,True
RW-EAS-00015,Station RW-EAS-00015,RW,East,0.9677,31.2756,2706.2,True,True
ST-CEN-00016,Station ST-CEN-00016,ST,Central,0.409,21.319,1815.8,False,True
SZ-SOU-00017,Station SZ-SOU-00017,SZ,South,-11.8676,31.803,403.1,False,True
GN-WES-00018,Station GN-WES-00018,GN,West,12.4507,-14.3283,1167.9,False,True
CM-CEN-00019,Station CM-CEN-00019,CM,Central,9.7104,15.3736,1706.4,False,True
NE-WES-00020,Station NE-WES-00020,NE,West,6.4425,-9.57,1399.8,True,True
KE-EAS-00021,Station KE-EAS-00021,KE,East,0.7649,48.7912,394.4,True,True
ET-EAS-00022,Station ET-EAS-00022,ET,East,-3.9571,45.2389,2389.1,False,True
BF-WES-00023,Station BF-WES-00023,BF,West,13.4792,-11.202,2521.9,False,True
LS-SOU-00024,Station LS-SOU-00024,LS,South,-10.1512,30.9082,1676.1,False,True
TD-CEN-00025,Station TD-CEN-00025,TD,Central,4.1442,11.411,2349.4,False,True
UG-EAS-00026,Station UG-EAS-00026,UG,East,-4.6161,39.3961,1697.6,False,True
SO-EAS-00027,Station SO-EAS-00027,SO,East,7.053,36.1512,2069.1,False,True
SZ-SOU-00028,Station SZ-SOU-00028,SZ,South,-31.0476,21.2646,2605.0,True,True
ML-WES-00029,Station ML-WES-00029,ML,West,5.9881,-8.5048,40.8,True,True
EG-NOR-00030,Station EG-NOR-00030,EG,North,31.939,16.1549,2366.5,False,True
GQ-CEN-00031,Station GQ-CEN-00031,GQ,Central,8.7634,27.6251,260.1,True,True
MZ-SOU-00032,Station MZ-SOU-00032,MZ,South,-10.3727,34.2415,613.4,False,True
BJ-WES-00033,Station BJ-WES-00033,BJ,West,7.5176,-0.0228,354.9,False,True
CM-CEN-00034,Station CM-CEN-00034,CM,Central,2.7476,20.3917,1843.7,True,True
SZ-SOU-00035,Station SZ-SOU-00035,SZ,South,-10.7364,21.6915,506.9,True,True
EG-NOR-00036,Station EG-NOR-00036,EG,North,27.5789,29.6839,2664.1,True,True
TZ-EAS-00037,Station TZ-EAS-00037,TZ,East,4.8829,35.2491,2085.1,False,True
TG-WES-00038,Station TG-WES-00038,TG,West,5.1579,-13.9478,192.9,False,True
GQ-CEN-00039,Station GQ-CEN-00039,GQ,Central,-4.1518,13.4814,1685.4,False,True
MR-NOR-00040,Station MR-NOR-00040,MR,North,16.95,32.0396,2811.5,False,True
MW-SOU-00041,Station MW-SOU-00041,MW,South,-29.5644,34.0829,1336.4,False,True
AO-SOU-00042,Station AO-SOU-00042,AO,South,-14.824,28.1313,1657.0,False,True
MA-NOR-00043,Station MA-NOR-00043,MA,North,33.3774,-3.5569,2375.7,True,True
NG-WES-00044,Station NG-WES-00044,NG,West,7.4643,-9.7843,2449.1,False,True
TG-WES-00045,Station TG-WES-00045,TG,West,9.5862,-9.2712,2101.6,True,True
UG-EAS-00046,Station UG-EAS-00046,UG,East,-6.0695,40.1469,2473.1,True,True
TD-CEN-00047,Station TD-CEN-00047,TD,Central,1.1965,18.4841,2633.1,False,True
SD-NOR-00048,Station SD-NOR-00048,SD,North,15.5769,14.5672,569.3,False,True
KE-EAS-00049,Station KE-EAS-00049,KE,East,-7.7475,47.711,306.4,False,True
MW-SOU-00050,Station MW-SOU-00050,MW,South,-33.6631,27.7491,327.9,True,True
MR-NOR-00051,Station MR-NOR-00051,MR,North,29.8748,-14.7146,1469.8,False,True
CD-CEN-00052,Station CD-CEN-00052,CD,Central,-0.5832,10.4695,2773.3,True,True
GA-CEN-00053,Station GA-CEN-00053,GA,Central,5.9101,14.1434,2268.9,False,True
BJ-WES-00054,Station BJ-WES-00054,BJ,West,6.2855,10.9671,1966.5,False,True
ZA-SOU-00055,Station ZA-SOU-00055,ZA,South,-27.6044,26.9596,2334.6,True,True
SN-WES-00056,Station SN-WES-00056,SN,West,15.4191,-11.8367,493.9,True,True
CF-CEN-00057,Station CF-CEN-00057,CF,Central,-2.3403,10.8002,1478.0,False,True
CF-CEN-00058,Station CF-CEN-00058,CF,Central,-0.9985,18.6425,1147.2,False,True
TN-NOR-00059,Station TN-NOR-00059,TN,North,30.1982,31.1415,199.1,False,False
MR-NOR-00060,Station MR-NOR-00060,MR,North,27.8067,-14.1411,442.7,False,True
BW-SOU-00061,Station BW-SOU-00061,BW,South,-14.9522,11.1402,132.2,False,True
TD-CEN-00062,Station TD-CEN-00062,TD,Central,-3.2723,24.2391,2506.5,False,True
GQ-CEN-00063,Station GQ-CEN-00063,GQ,Central,9.8168,20.1386,2062.9,False,True
SD-NOR-00064,Station SD-NOR-00064,SD,North,15.6637,24.8583,2659.2,False,True
MA-NOR-00065,Station MA-NOR-00065,MA,North,20.8147,5.8732,2833.5,False,True
TN-NOR-00066,Station TN-NOR-00066,TN,North,35.4106,29.5436,2549.6,False,True
TN-NOR-00067,Station TN-NOR-00067,TN,North,26.0501,18.979,1008.5,False,True
CI-WES-00068,Station CI-WES-00068,CI,West,17.3735,-7.1744,728.0,False,True
LY-NOR-00069,Station LY-NOR-00069,LY,North,27.3964,6.5461,670.0,False,True
ET-EAS-00070,Station ET-EAS-00070,ET,East,-6.3683,50.3726,1915.7,False,True
TG-WES-00071,Station TG-WES-00071,TG,West,16.1305,-0.5417,1704.2,True,True
UG-EAS-00072,Station UG-EAS-00072,UG,East,6.5714,50.7703,2236.2,True,True
EG-NOR-00073,Station EG-NOR-00073,EG,North,35.048,-13.7675,2059.0,False,True
ZM-SOU-00074,Station ZM-SOU-00074,ZM,South,-18.9289,27.7584,441.6,True,True
GH-WES-00075,Station GH-WES-00075,GH,West,6.5288,4.8997,1478.5,False,True
EG-NOR-00076,Station EG-NOR-00076,EG,North,34.387,3.6618,222.5,True,True
KE-EAS-00077,Station KE-EAS-00077,KE,East,-4.9838,35.046,2135.3,False,True
CG-CEN-00078,Station CG-CEN-00078,CG,Central,-1.8201,16.1551,2548.8,False,True
GA-CEN-00079,Station GA-CEN-00079,GA,Central,2.7658,11.4729,1865.5,False,True
ZW-SOU-00080,Station ZW-SOU-00080,ZW,South,-11.5087,23.0606,724.3,False,False
CG-CEN-00081,Station CG-CEN-00081,CG,Central,-0.748,27.7997,2684.1,False,True
SD-NOR-00082,Station SD-NOR-00082,SD,North,25.412,8.8506,599.5,True,True
GN-WES-00083,Station GN-WES-00083,GN,West,9.7437,7.4989,2947.7,True,True
